run_number,rate_avg_value
47773,1074586.6273148146
47772,95173.93356348012
47770,695935.1439334196
47769,1499750.0629832398
47768,1712906.377245783
47767,1083809.6827872065
47766,
47765,
47764,0
47763,0
47762,0
47761,0
47760,
47759,0
47758,599012.1173409474
47757,594015.466366105
47756,457923.7843433254
47755,551920.7422666666
47754,480333.58120158734
47753,2338141.541081609
47752,597980.6041666665
47751,631892.7017456105
47750,471505.2330787975
47749,658638.0050698349
47748,650544.6404122523
47747,662882.0140573856
47746,709588.2581931698
47745,723008.5022654517
47744,684016.9376284255
47743,675903.251095579
47742,592630.5753896765
47741,579392.5727027704
47740,708065.8958467017
47739,
47738,
47737,796109.8599103447
47736,
47735,
47734,808345.2427250128
47733,819379.7323090273
47732,879820.6576192786
47731,892495.1033930335
47730,905817.439478377
47729,877649.927174086
47728,827831.9907407407
47727,924146.8205399449
47726,960520.199583732
47725,1016207.1019768441
47724,1049556.8780683053
47723,1092797.95097003
47722,1158192.3318549062
47721,1239978.4904934864
47720,1242723.8037776698
47719,1389017.8404857912
47718,
47717,1419564.1998790938
47716,1482296.4080698302
47715,1594079.3465632605
47714,1768030.3084338035
47713,823299.4765602074
47712,0
47711,
47710,714061.9865077914
47709,0
47708,
47707,0
47706,0
47705,0
47704,0
47703,0
47701,0
47700,0
47699,
47698,0.250144735632184
47697,0.11260566502463054
47696,0
47695,0
47694,
47693,
47692,
47691,0
47690,0
47687,0
47686,0
47685,
47684,0
47683,0
47682,0
47681,
47680,0
47679,
47677,0
47676,
47675,
47674,0
47673,0
47672,0
47671,0
47670,
47669,
47668,
47667,954892.378677371
47666,1093008.8110080694
47665,1068117.683166667
47664,1157993.2718624661
47663,1194102.2823948276
47662,1207630.07547281
47661,1234113.8683417144
47660,
47659,1270007.1551297102
47658,1364629.444779977
47657,1510122.7477695371
47656,1579793.592183908
47655,
47654,1583970.8687609194
47653,1610212.8184804595
47652,
47651,1650836.4897839082
47650,1711509.0203184355
47649,
47648,
47647,1753603.000556322
47646,1317671.028039266
47645,
47644,143313.0999896552
47643,83634.08246896551
47641,
47640,
47639,
47638,890983.992282511
47637,917489.3639024833
47636,956104.1049111818
47635,952031.7541245231
47634,1053210.0439237792
47633,760091.1710705585
47632,941363.0907440477
47631,1054656.3481059163
47630,1109163.7620872764
47629,1110804.7112068965
47628,938334.3038269165
47627,5336.068965517241
47626,1137806.5172413795
47625,1158132.547413793
47624,1105356.4135135654
47623,1175228.1264367818
47622,1127948.2093033271
47621,1138965.446348761
47620,1127810.119829434
47619,1137104.2981044394
47618,423571.3275862069
47617,1151317.4242249485
47616,0
47615,
47614,
47613,
47612,375126.5172413793
47611,1213445.8437747129
47610,196255.9827586207
47609,0
47608,1216678.1129499702
47607,1095981.4653852526
47605,1222619.278938936
47604,1184130.715691366
47603,1265317.0993713143
47602,1283230.8373312666
47601,1199946.919595654
47600,
47599,66140.37624712643
47598,
47597,131048.04405523809
47596,1088832.0228968004
47595,1419336.9443672062
47594,1481215.9573762056
47593,1503287.9655172415
47592,1456158.507741285
47591,1512273.981272399
47590,1511546.6943424814
47589,1480656.6056663303
47588,1459605.377727812
47587,1131769.2264805683
47586,1628219.0630522822
47585,1676681.5215517243
47584,1645132.7165173905
47583,1754017.1594827587
47582,1696612.2081458448
47581,969257.5879058345
47580,
47579,
47578,
47575,
47574,
47573,
47572,0
47571,
47570,1124720.3081172411
47569,
47568,1160123.3136537706
47567,1182075.4335310343
47566,1189221.6559827586
47565,1203621.2878022988
47564,
47563,1238966.6928091953
47562,
47561,
47560,1312115.0139517242
47559,1231634.1782367136
47558,1362990.381788506
47557,1537126.571235561
47556,1559111.2325103446
47555,
47554,160501.21346363172
47553,
47552,806849.1260184356
47551,
47550,
47549,841287.6248673794
47548,827382.3600963713
47547,888750.6511117242
47546,
47545,
47544,894976.4052172414
47543,945767.1155367816
47542,943113.3384126354
47541,967641.9499011335
47540,1026661.0116125408
47539,1031254.32327489
47538,1104465.438697037
47537,
47536,1179262.833751724
47535,1144816.7328413792
47534,
47533,
47532,1615793.5745310346
47531,
47530,778471.2531351481
47529,
47527,
47526,
47525,704542.3666659301
47524,731284.833672917
47523,
47522,769646.5009021483
47521,799517.6624325294
47520,
47519,891216.0826580753
47518,
47517,932416.2108848516
47516,1022285.9094916352
47515,
47514,1191790.6610178477
47513,1468208.1133445897
47512,1648131.187
47511,
47510,
47509,778440.6283532836
47508,822864.2282528735
47507,798274.5472175516
47506,819880.7960840004
47505,895572.2269129017
47504,
47503,934715.9614010626
47502,1007429.9130192023
47501,1120347.993542108
47500,1219947.7022147411
47499,1550463.0943255173
47498,1587938.2440344829
47497,484216.71347485733
47496,506209.2621563219
47495,509084.9492149941
47494,506734.4600280866
47493,
47492,525632.0546690209
47491,503115.0278312358
47490,
47489,602832.7735945842
47488,641388.0207655173
47487,
47486,609618.1519138038
47485,642395.0681642623
47484,710630.9712931947
47483,
47482,735645.7181546625
47481,765717.3715620689
47480,753909.5027610188
47479,
47478,863271.5916186018
47477,
47476,1003011.6636833797
47475,905841.7413793105
47474,1081492.132948017
47473,897008.2437818763
47472,
47471,0
47470,496980.1519989162
47469,889107.3878050976
47468,0
47467,
47466,
47465,0
47464,687458.0053145818
47463,707977.2422435646
47462,720883.140113317
47461,758212.5086503784
47460,786699.9285586206
47459,796573.0918861112
47458,826296.0855285837
47457,873487.7512943645
47456,898130.2081965519
47455,904579.1703162197
47454,964456.1406754532
47453,1014496.3141471264
47452,
47451,1046247.3507391562
47450,1032282.5773654322
47449,
47448,
47447,
47446,
47445,844165.7965109099
47444,
47443,932649.5315911251
47442,
47441,
47440,996203.0662872519
47439,1040239.759887931
47438,1071096.4889655174
47437,1104351.9354528736
47436,1139105.9284957855
47435,1168997.6144822298
47434,1256074.9222965515
47433,1244053.6686666668
47432,1369043.9526229885
47431,
47430,0
47429,0
47422,
47420,
47419,
47418,
47417,
47416,
47415,1135532.4354574713
47414,1121040.5985389673
47413,
47412,1171052.7928840762
47411,
47410,1256382.491475862
47409,
47408,
47407,558705.1268589471
47406,730166.3078747126
47405,723976.8265049808
47404,
47403,
47402,
47401,
47400,
47399,801640.5518613794
47398,805519.3859862069
47397,825734.9307396553
47396,869881.8426056941
47395,905053.5737568713
47394,922609.0234817738
47393,961219.5424847129
47392,
47391,1002679.8772132087
47390,
47389,1054219.6703310343
47388,
47387,
47385,1484605.6869116984
47384,
47383,39319.879310344826
47382,672852.3170363986
47381,804884.4505745627
47380,816303.4798675862
47379,830181.7077689655
47378,851517.7952203738
47377,919799.7209595419
47376,950898.3217214659
47375,969714.57766424
47374,1032949.5306850575
47373,1047780.1758275862
47371,1205085.7604444446
47370,1058970.4693026743
47369,98190.44408706899
47368,89275.62826142643
47367,
47366,
47365,
47364,0
47363,705442.5586427859
47362,
47361,
47360,754599.4335917213
47359,
47358,779933.8505747127
47357,780776.1952250629
47356,579492.2036355392
47355,787630.7512670143
47354,759370.6648185612
47353,811864.6373955196
47352,796177.3931788118
47351,
47350,878493.7743228243
47349,917538.4977249894
47348,951322.458832184
47347,1003015.6651637135
47346,1084063.8032986112
47345,1116492.397737931
47344,1134224.6371373562
47343,
47342,1265247.2107149425
47341,830514.1354393126
47340,
47339,
47338,
47337,
47336,0
47335,
47334,894608.6887592385
47333,927998.3260969077
47332,952858.9377578543
47331,
47330,974358.6626942529
47329,
47328,
47327,
47326,
47325,1117074.9660904214
47324,
47323,1103730.775406742
47322,988890.4361732643
47321,
47320,1263014.5086195404
47319,1281581.122864368
47318,709747.5308478235
47317,279543.48524
47316,823999.8221833769
47315,839564.5774481414
47314,865239.643964782
47313,912932.5997456622
47312,954633.2029643678
47311,948139.2841241378
47310,1004386.9091263679
47309,
47308,1039747.425475862
47307,
47306,1053785.3392031349
47305,1045942.1235862069
47304,155021.45689655174
47303,1077939.4423545976
47302,871878.6206896552
47301,991333.6119061728
47300,
47299,317531.2984992423
47298,
47297,1100999.567963218
47296,
47295,367925.21714276576
47294,813157.9181729234
47293,1105515.683595997
47292,1009244.1438575147
47291,1137239.458983422
47290,854803.1845475759
47289,1064827.0754339164
47288,1189092.208687346
47287,1225115.6756372415
47286,
47285,1272751.3495401342
47284,1178178.2009612685
47283,
47282,
47281,0.5431034482758621
47280,249534.66360864288
47279,0
47278,
47277,
47275,0
47272,0
47271,0
47270,0
47269,0
47268,0
47264,
47230,679240.1639274893
47229,688030.8615012415
47228,
47227,708712.8391770114
47226,
47225,
47224,731060.6695632185
47223,700104.5192307694
47222,640217.0291264368
47221,
47220,742442.45725
47219,762409.9106762448
47218,796957.6419510086
47217,
47216,828461.0237865354
47215,
47214,
47212,
47211,895190.568318774
47210,
47209,891143.7940942529
47208,
47207,917502.5508827587
47206,
47205,
47204,953665.3752764293
47203,981412.7254983507
47202,1060799.8839909837
47201,1151824.8346931036
47200,1142132.2283797618
47199,663468.384705818
47198,738101.0048648298
47197,
47196,726666.6172888889
47195,751085.6509434083
47194,593509.6781813724
47193,612905.7043686114
47192,719983.4156659977
47191,819534.790948276
47190,812894.400882404
47189,851127.9469341696
47188,812562.414334904
47185,973187.1612904306
47184,961633.5127200108
47182,
47181,637804.8513957307
47180,1036777.659984709
47179,1010162.1673746646
47178,1069108.0839418168
47177,1091478.4896639658
47176,
47175,
47174,1168382.876368691
47173,
47172,
47171,
47170,
47169,
47168,0.02561149425287356
47167,327144.1853138056
47164,
47163,
47162,688901.6441827666
47161,750259.3020476878
47160,746880.6353766281
47159,254447.0385067302
47158,784380.0744008058
47157,
47156,806305.2599360122
47155,860626.2574087601
47154,
47153,896776.1431775864
47152,958141.5319974994
47151,689245.8795347124
47150,986604.1308904982
47149,518085.4125704024
47148,1007237.9804547856
47147,1051352.938477604
47146,1104171.292499186
47145,683917.5951388888
47144,526450.1976236338
47143,869358.6306335801
47142,
47141,882678.8428154907
47140,967370.6946110369
47139,1042495.8027189238
47138,1110676.0511312769
47137,1087454.436584399
47136,1215804.2374528735
47135,1227660.734276134
47134,284943.00957642414
47133,737309.2466149469
47132,729328.3443862448
47131,720830.3498146774
47130,785540.7030453698
47129,779220.1173212101
47128,
47127,
47126,823823.6336014146
47125,858875.7260978746
47124,940893.4047735896
47123,976028.422493282
47122,
47121,
47120,
47119,
47118,
47117,
47116,1108178.5346567368
47115,1199360.7696933902
47114,1295522.9881638798
47113,355349.7627927893
47112,
47110,
47109,
47108,
47107,0
47106,658455.3168367816
47105,58390.61875
47104,675367.9622233803
47103,745197.3521643181
47102,765835.9315821293
47101,846691.1667443541
47100,940407.2868467683
47099,
47098,1066576.8608205952
47097,1030937.850071329
47096,0.03348045977011494
47095,398073.2974379352
47094,0
47093,0
47092,
47091,687007.7155379074
47090,
47089,696643.4049319506
47088,755999.1511695179
47087,783975.5006175766
47086,
47085,
47084,799754.5111926215
47083,852469.6778373929
47082,
47081,
47080,
47079,852085.5805655172
47077,
47076,
47075,
47074,
47073,
47072,
47071,974898.4196334975
47070,
47069,
47068,872631.1283899705
47067,935869.1251347042
47066,1132219.536424694
47065,207190.41090574887
47064,502489.68511064444
47063,657032.653745409
47062,
47061,693297.9301817893
47060,714370.5060919469
47059,695703.5084555415
47058,746600.1589172414
47057,681890.094
47056,748965.8906323857
47055,836570.1795242558
47054,910907.7335004674
47053,976187.2340158867
47052,1018644.8395896552
47051,1039757.3084200743
47050,1114167.3305167845
47049,370917.6033748811
47048,0.011475248152970944
47046,
47045,
47044,
47043,779204.8670688048
47042,793517.1625172414
47041,819680.6788005467
47040,852275.3200074761
47039,
47038,897743.4890787108
47037,953542.2559006012
47036,1015226.6696567051
47035,
47034,1017488.0092997814
47033,1020316.3674616276
47032,922287.9330135178
47031,
47030,1156758.758208046
47029,1192424.3223441124
47028,
47027,1193075.5981707713
47026,1297832.9509057472
47025,1352126.0206344826
47024,946420.8430437975
47023,0
47022,711594.3751773232
47021,
47020,
47019,750676.8380242264
47018,
47017,790461.2098367293
47016,
47015,
47014,818509.4375906198
47013,
47012,862778.5591216212
47011,913848.5209161123
47010,
47009,961834.1741747126
47008,968832.6582628437
47007,997287.7848044916
47006,1053295.6032189706
47005,1079513.9873333334
47004,944297.4690413792
47003,1111239.406324138
47002,1167798.9696408783
47001,283732.1012154669
47000,0.006468460067346061
46999,0.007660525931071909
46998,0.005730688813102607
46997,0
46996,0
46995,0
46994,0.006922945630359423
46993,0.012406315279280582
46992,0.00921855500821018
46991,
46990,
46989,
46988,0
46987,806911.3410283526
46986,784158.6817402873
46985,804875.5545778916
46984,801579.9863847934
46983,855352.7803045978
46982,839066.3283589632
46981,867653.4773651017
46980,888266.8011034483
